video_id,title,video_url,classification,review_status,review_reason,reviewed_at,screening_score,screening_note
Ry3NnrbVjAM,"""내 몸 만지지마!!"" 개통령 손길도 피하는 예민쓰 파피용 [퍼피교육]",https://www.youtube.com/watch?v=Ry3NnrbVjAM,CANDIDATE,APPROVED,대표 표본 직접 시청: 구체적인 훈련 설명과 실행 방법 포함,2026-08-17,,
JozcQCCFiFk,개 조심. 귀여우니까 조심 [퍼피교육],https://www.youtube.com/watch?v=JozcQCCFiFk,CANDIDATE,PENDING,,,1,행동 특성(경계심)을 언급하나 대처법 서술 없이 캡션형 문구에 가까움
oTn32b8GX6g,강형욱도 무장 해제 시킨 '사람 좋아 강아지' [퍼피교육],https://www.youtube.com/watch?v=oTn32b8GX6g,CANDIDATE,PENDING,,,1,성격 소개형 제목('사람 좋아 강아지')이라 절차·기법 신호 약함
W6-dl3rN7fI,잘생긴 남자만 좋아한다는 환승연애 현지네 콩이 (with 메기남 강형욱) [주니어 교육],https://www.youtube.com/watch?v=W6-dl3rN7fI,CANDIDATE,PENDING,,,0,연예인 콜라보 예능형 제목 — 훈련 절차 신호 없음
Om9UPA9mQ1I,그냥 보호자님이 자랑하러 나온 게 확실. [주니어 교육],https://www.youtube.com/watch?v=Om9UPA9mQ1I,CANDIDATE,PENDING,,,0,자랑/코미디형 제목 — 훈련 절차 신호 없음
t3kYE-WP3Yw,'길에서 사나운 개를 만났다면?' 어떻게 해야할지 강형욱이 알려드립니다,https://www.youtube.com/watch?v=t3kYE-WP3Yw,CANDIDATE,PENDING,,,3,제목에 '어떻게 해야할지 알려드립니다'로 명시적 대처법 안내 — 공격적인 개 대응이라는 구체적 문제-해결 구조
0chbMAzvlnk,강형욱에게 쫄지 않기 위해 기립한 콩알 치와와씨 [퍼피교육],https://www.youtube.com/watch?v=0chbMAzvlnk,CANDIDATE,PENDING,,,0,리액션/성격 소개형 — 훈련 절차 신호 없음
covQLV3If8o,말랑콩떡 왕찹쌀떡 강아지에 감겨버렸습니다 [퍼피교육],https://www.youtube.com/watch?v=covQLV3If8o,CANDIDATE,PENDING,,,0,리액션/애정표현형 — 훈련 절차 신호 없음
UFHKROVUYvg,와... 외모 미쳤다...!  귀여움 58000% G리는 G무비네 강아지 [퍼피교육],https://www.youtube.com/watch?v=UFHKROVUYvg,CANDIDATE,PENDING,,,0,외모 예찬형 — 훈련 절차 신호 없음
KhNJl8kj7ks,훈련하기 싫어서 눈알 굴리는 댕쪽이 [퍼피교육],https://www.youtube.com/watch?v=KhNJl8kj7ks,CANDIDATE,APPROVED,대표 표본 직접 시청: 구체적인 훈련 설명과 실행 방법 포함,2026-08-17,,
muPemAmkfkc,자신감 심어줬더니 종이컵 물고 튀는 에이미네 강아지 [퍼피교육],https://www.youtube.com/watch?v=muPemAmkfkc,CANDIDATE,PENDING,,,2,'자신감 심어줬더니'가 적용한 훈련 기법(자신감 형성)과 그 이후 결과를 대비하는 전/후 구조를 시사
9FWfbXwXbP0,하네스가 입기 싫은 강아지 [퍼피교육],https://www.youtube.com/watch?v=9FWfbXwXbP0,CANDIDATE,APPROVED,대표 표본 직접 시청: 구체적인 훈련 설명과 실행 방법 포함,2026-08-17,,
